loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_support_total,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6332,30.507091522216797,1.8e-05,1.0,594,,,,,,,,,,,,,,,,,
,,,1.0,594,0.5342702865600586,0.7828282828282829,0.7840082442130856,0.7828282828282829,0.7816235138362879,0.7932206762925839,0.7697384568178288,0.7795015909669986,1188.0,1.0645,1116.026,139.973,,,,,
0.4077,1.0142228603363037,1.6000000000000003e-05,2.0,1188,,,,,,,,,,,,,,,,,
,,,2.0,1188,0.6080623269081116,0.813973063973064,0.8127745071845206,0.813973063973064,0.8110115381456845,0.8205477822054147,0.807764715124145,0.8119918699186992,1188.0,1.0699,1110.406,139.268,,,,,
0.2719,34.038204193115234,1.4e-05,3.0,1782,,,,,,,,,,,,,,,,,
,,,3.0,1782,0.718620240688324,0.8232323232323232,0.8223828975246595,0.8232323232323232,0.8217506015360598,0.829488895209162,0.8172978073392665,0.8224196926299205,1188.0,1.07,1110.316,139.257,,,,,
0.1827,0.05560027435421944,1.2e-05,4.0,2376,,,,,,,,,,,,,,,,,
,,,4.0,2376,0.976845920085907,0.8232323232323232,0.8222842728634326,0.8232323232323232,0.8193412906318842,0.8280840726769786,0.8177965110864426,0.8196949241293999,1188.0,1.0686,1111.786,139.441,,,,,
0.1141,10.94887924194336,1e-05,5.0,2970,,,,,,,,,,,,,,,,,
,,,5.0,2970,0.9776028990745544,0.8291245791245792,0.8290404106006943,0.8291245791245792,0.8290817427372338,0.8301099174559421,0.8299652106442096,0.8300368808556522,1188.0,1.0718,1108.379,139.014,,,,,
0.0775,0.019816044718027115,8.000000000000001e-06,6.0,3564,,,,,,,,,,,,,,,,,
,,,6.0,3564,1.2511613368988037,0.8106060606060606,0.809299735817567,0.8106060606060606,0.8055594890186412,0.8078724975146199,0.8088316818132499,0.8036573554733843,1188.0,1.0722,1107.999,138.966,,,,,
0.0632,0.015064730308949947,6e-06,7.0,4158,,,,,,,,,,,,,,,,,
,,,7.0,4158,1.1496179103851318,0.8207070707070707,0.819245941405832,0.8207070707070707,0.8194658225124046,0.8233151301955243,0.820402227187222,0.821377873159758,1188.0,1.0704,1109.874,139.201,,,,,
0.0558,12.92438793182373,4.000000000000001e-06,8.0,4752,,,,,,,,,,,,,,,,,
,,,8.0,4752,1.2595043182373047,0.8249158249158249,0.8235014310392942,0.8249158249158249,0.8236702874661526,0.8278174298639085,0.8237328836656165,0.8252780493145119,1188.0,1.0706,1109.629,139.171,,,,,
0.0404,0.011378467082977295,2.0000000000000003e-06,9.0,5346,,,,,,,,,,,,,,,,,
,,,9.0,5346,1.2980624437332153,0.8198653198653199,0.8180989578316866,0.8198653198653199,0.8166250186165442,0.8216070255548035,0.816440237917452,0.816729453123067,1188.0,1.0705,1109.813,139.194,,,,,
0.0299,0.20427913963794708,0.0,10.0,5940,,,,,,,,,,,,,,,,,
,,,10.0,5940,1.271773099899292,0.8257575757575758,0.8241671776706052,0.8257575757575758,0.824384860184017,0.8271695561631697,0.8249860164976967,0.8255225068261165,1188.0,1.0711,1109.124,139.107,,,,,
,,,10.0,5940,,,,,,,,,,,,,244.6428,194.202,24.28,2490646001228280.0,0.18764185118755508
,,,10.0,5940,0.9776028990745544,0.8291245791245792,0.8290404106006943,0.8291245791245792,0.8290817427372338,0.8301099174559421,0.8299652106442096,0.8300368808556522,1188.0,1.0739,1106.223,138.743,,,,,
