loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_support_total,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5044,0.2696174681186676,1.8e-05,1.0,292,,,,,,,,,,,,,,,,,
,,,1.0,292,0.48645904660224915,0.8216123499142367,0.7965900933486149,0.8216123499142367,0.8085717449100248,0.5429996299660241,0.5549609810479376,0.5486698549010534,583.0,0.4554,1280.158,160.294,,,,,
0.3419,0.35117655992507935,1.6000000000000003e-05,2.0,584,,,,,,,,,,,,,,,,,
,,,2.0,584,0.6856294870376587,0.8181818181818182,0.8215851708222505,0.8181818181818182,0.8064819861460665,0.8740354267310789,0.5678754891031107,0.5807459328487367,583.0,0.4564,1277.423,159.952,,,,,
0.1946,0.5861923098564148,1.4e-05,3.0,876,,,,,,,,,,,,,,,,,
,,,3.0,876,0.7787302732467651,0.8147512864493996,0.8070507303485155,0.8147512864493996,0.8077095835164588,0.7068155111633372,0.6026843290270399,0.6283372593815503,583.0,0.4565,1276.981,159.896,,,,,
0.0777,0.07375813275575638,1.2e-05,4.0,1168,,,,,,,,,,,,,,,,,
,,,4.0,1168,1.09421706199646,0.8078902229845626,0.7994996482519307,0.8078902229845626,0.8009845913145827,0.6795427848558778,0.5971932585743328,0.6200533267700385,583.0,0.4571,1275.555,159.718,,,,,
0.0329,0.1854763925075531,1e-05,5.0,1460,,,,,,,,,,,,,,,,,
,,,5.0,1460,1.2012118101119995,0.8198970840480274,0.8120062179191581,0.8198970840480274,0.8120171384829111,0.6902829454010556,0.6034144315474239,0.6276312071766618,583.0,0.455,1281.211,160.426,,,,,
0.0169,0.024126285687088966,8.000000000000001e-06,6.0,1752,,,,,,,,,,,,,,,,,
,,,6.0,1752,1.1941936016082764,0.8096054888507719,0.8012978978954853,0.8096054888507719,0.8032882679539247,0.6795992714025502,0.5997857783024023,0.6217708574679411,583.0,0.4545,1282.734,160.617,,,,,
0.0157,0.048952966928482056,6e-06,7.0,2044,,,,,,,,,,,,,,,,,
,,,7.0,2044,1.2737001180648804,0.8147512864493996,0.8071544581808056,0.8147512864493996,0.8076649500497612,0.7073290939383631,0.6026843290270399,0.6285245181106802,583.0,0.457,1275.776,159.745,,,,,
0.0122,0.008797690272331238,4.000000000000001e-06,8.0,2336,,,,,,,,,,,,,,,,,
,,,8.0,2336,1.312536358833313,0.8164665523156089,0.8088908210977386,0.8164665523156089,0.809066112562148,0.7091093490687811,0.6031084005508558,0.629391857329267,583.0,0.456,1278.59,160.098,,,,,
0.0122,0.004859121982008219,2.0000000000000003e-06,9.0,2628,,,,,,,,,,,,,,,,,
,,,9.0,2628,1.3251265287399292,0.8164665523156089,0.8088820045341785,0.8164665523156089,0.8094809562100675,0.7084258171214692,0.6041926246529827,0.6298948917803042,583.0,0.4556,1279.493,160.211,,,,,
0.0098,0.006985771004110575,0.0,10.0,2920,,,,,,,,,,,,,,,,,
,,,10.0,2920,1.3303114175796509,0.8164665523156089,0.8088701917561976,0.8164665523156089,0.8092761450768773,0.7087551359384562,0.6036505126019193,0.6296454774164767,583.0,0.4548,1281.902,160.513,,,,,
,,,10.0,2920,,,,,,,,,,,,,113.9808,204.333,25.618,987710811668910.0,0.12184182103366067
,,,10.0,2920,1.2012118101119995,0.8198970840480274,0.8120062179191581,0.8198970840480274,0.8120171384829111,0.6902829454010556,0.6034144315474239,0.6276312071766618,583.0,0.455,1281.401,160.45,,,,,
